Título da Revista;ISSN;Homepage;Aims and Scope: ;Aims and Scope (translate);Área;Subárea;Sub-subárea;Indexador;JIF;Quartil JCR;SJR;SJR Best Quartile;H index;Índice h5
Annals of Internal Medicine;1539-3704;http://www.annals.org/;Aims and Scope: Published by American College of Physicians. Focuses on scholarly research in the field of Annals of Internal Medicine.;Aims and Scope: Published by American College of Physicians. Focuses on scholarly research in the field of Annals of Internal Medicine.;Ciências da Saúde;Medicina;Medicina;Scopus;15,2;Q1;2,836;Q1;457.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Annals%20of%20Internal%20Medicine&btnG=
Annals of K-Theory;2379-1691;http://msp.org/akt;Aims and Scope: Published by Mathematical Sciences Publishers. Focuses on scholarly research in the field of Annals of K-Theory.;Aims and Scope: Published by Mathematical Sciences Publishers. Focuses on scholarly research in the field of Annals of K-Theory.;Ciências da Saúde;Enfermagem;Enfermagem, Matemática;Scopus;-;-;0,974;Q1;11.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Annals%20of%20K-Theory&btnG=
Annals of Maxillofacial Surgery;2231-0746;;Aims and Scope: Published by Ovid Technologies (Wolters Kluwer) - Medknow Publications. Focuses on scholarly research in the field of Annals of Maxillofacial Surgery.;Aims and Scope: Published by Ovid Technologies (Wolters Kluwer) - Medknow Publications. Focuses on scholarly research in the field of Annals of Maxillofacial Surgery.;Ciências da Saúde;Medicina;Medicina, Odontologia;Scopus;-;-;0,254;Q3;22.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Annals%20of%20Maxillofacial%20Surgery&btnG=
Annals of Neurology;1531-8249;http://www3.interscience.wiley.com/journal/76507645/home;Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on scholarly research in the field of Annals of Neurology.;Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on scholarly research in the field of Annals of Neurology.;Ciências da Saúde;Medicina;Medicina, Neurociência;Scopus;7,7;Q1;3,247;Q1;350.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Annals%20of%20Neurology&btnG=
Annals of Nutrition and Metabolism;1421-9697;http://www.karger.com?ISSN=1421-9697;Aims and Scope: Published by S. Karger AG. Focuses on scholarly research in the field of Annals of Nutrition and Metabolism.;Aims and Scope: Published by S. Karger AG. Focuses on scholarly research in the field of Annals of Nutrition and Metabolism.;Ciências da Saúde;Medicina;Enfermagem, Medicina;Scopus;2,9;Q3;0,527;Q2;111.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Annals%20of%20Nutrition%20and%20Metabolism&btnG=
Annals of Oncology;1569-8041;https://www.sciencedirect.com/journal/annals-of-oncology;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Annals of Oncology.;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Annals of Oncology.;Ciências da Saúde;Medicina;Medicina;Scopus;65,4;Q1;21,715;Q1;331.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Annals%20of%20Oncology&btnG=
Annals of Otology, Rhinology and Laryngology;0003-4894;http://annals.com/;Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Annals of Otology Rhinology & Laryngology.;Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Annals of Otology Rhinology & Laryngology.;Ciências da Saúde;Medicina;Medicina;Scopus;1,2;Q3;0,57;Q2;110.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Annals%20of%20Otology%2C%20Rhinology%20and%20Laryngology&btnG=
Annals of Pharmacotherapy;1060-0280;http://aop.sagepub.com/;Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Annals of Pharmacotherapy.;Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Annals of Pharmacotherapy.;Ciências da Saúde;Medicina;Medicina;Scopus;2,3;Q3;0,815;Q2;129.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Annals%20of%20Pharmacotherapy&btnG=
Annals of Physical and Rehabilitation Medicine;1877-0657;https://www.journals.elsevier.com/annals-of-physical-and-rehabilitation-medicine;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Annals of Physical and Rehabilitation Medicine.;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Annals of Physical and Rehabilitation Medicine.;Ciências da Saúde;Medicina;Medicina;Scopus;4,6;Q1;1,359;Q1;76.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Annals%20of%20Physical%20and%20Rehabilitation%20Medicine&btnG=
Annals of Research in Oncology;2785-2512;;Aims and Scope: Published by Edra SpA. Focuses on scholarly research in the field of Annals of Research in Oncology.;Aims and Scope: Published by Edra SpA. Focuses on scholarly research in the field of Annals of Research in Oncology.;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;0,183;Q4;5.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Annals%20of%20Research%20in%20Oncology&btnG=
Annals of Vascular Surgery;1615-5947;https://www.journals.elsevier.com/annals-of-vascular-surgery;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Annals of Vascular Surgery.;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Annals of Vascular Surgery.;Ciências da Saúde;Medicina;Medicina;Scopus;1,6;Q2;0,668;Q2;90.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Annals%20of%20Vascular%20Surgery&btnG=
Annals of Work Exposures and Health;2398-7308;https://academic.oup.com/annweh/issue;Aims and Scope: Published by Oxford University Press. Focuses on scholarly research in the field of Annals of Work Exposures and Health.;Aims and Scope: Published by Oxford University Press. Focuses on scholarly research in the field of Annals of Work Exposures and Health.;Ciências da Saúde;Medicina;Medicina;Scopus;2,1;Q2;0,756;Q2;94.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Annals%20of%20Work%20Exposures%20and%20Health&btnG=
Annals of the American Thoracic Society;2325-6621;http://www.atsjournals.org/journal/annalsats;;;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;1,591;Q1;154.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Annals%20of%20the%20American%20Thoracic%20Society&btnG=
Annals of the Royal College of Surgeons of England;0035-8843;https://publishing.rcseng.ac.uk/journal/ann;;;Ciências da Saúde;Medicina;Medicina;Scopus;1,7;Q2;0,479;Q2;83.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Annals%20of%20the%20Royal%20College%20of%20Surgeons%20of%20England&btnG=
Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference;2694-0604;;;;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;0,116;Q4;7.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Annual%20International%20Conference%20of%20the%20IEEE%20Engineering%20in%20Medicine%20and%20Biology%20Society.%20IEEE%20Engineering%20in%20Medicine%20and%20Biology%20Society.%20Annual%20International%20Conference&btnG=
Annual Review of CyberTherapy and Telemedicine;1554-8716;http://www.iospress.nl/book/annual-review-of-cybertherapy-and-telemedicine/;;;Ciências da Saúde;Medicina;Ciência da Computação, Medicina, Neurociência, Psicologia;Scopus;0,6;Q4;0,185;Q4;24.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Annual%20Review%20of%20CyberTherapy%20and%20Telemedicine&btnG=
Ansiedad y Estres;2174-0437;https://www.journals.elsevier.com/ansiedad-y-estres;;;Ciências da Saúde;Medicina;Medicina, Psicologia;Scopus;0,5;Q4;0,338;Q3;20.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Ansiedad%20y%20Estres&btnG=
Anthropology and Medicine;1469-2910;https://www.tandfonline.com/toc/canm20/current;;;Ciências da Saúde;Medicina;Artes e Humanidades, Ciências Sociais, Medicina;Scopus;1,1;Q2;0,35;Q2;42.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Anthropology%20and%20Medicine&btnG=
Anuario de Psicologia;0066-5126;https://www.journals.elsevier.com/anuario-de-psicologia;Aims and Scope: Published by Edicions de la Universitat de Barcelona. Focuses on scholarly research in the field of Anuario de Psicología/The UB Journal of Psychology.;Aims and Scope: Published by Edicions de la Universitat de Barcelona. Focuses on scholarly research in the field of Anuario de Psicología/The UB Journal of Psychology.;Ciências da Saúde;Medicina;Medicina, Psicologia;Scopus;0,4;Q4;0,226;Q4;20.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Anuario%20de%20Psicologia&btnG=
Anxiety, Stress and Coping;1061-5806;https://www.tandfonline.com/toc/gasc20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Anxiety Stress & Coping.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Anxiety Stress & Coping.;Ciências da Saúde;Medicina;Artes e Humanidades, Medicina, Psicologia;Scopus;1,9;Q2;0,904;Q1;98.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Anxiety%2C%20Stress%20and%20Coping&btnG=
Aphasiology;1464-5041;https://www.tandfonline.com/toc/paph20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Aphasiology.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Aphasiology.;Ciências da Saúde;Medicina;Ciências Sociais, Enfermagem, Medicina, Neurociência, Psicologia;Scopus;2,1;Q1;0,706;Q1;88.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Aphasiology&btnG=
Appetite;0195-6663;http://www.journals.elsevier.com/appetite/;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Appetite.;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Appetite.;Ciências da Saúde;Enfermagem;Enfermagem, Psicologia;Scopus;3,8;Q1;1,057;Q1;205.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Appetite&btnG=
Applied Clinical Informatics;1869-0327;https://www.thieme-connect.de/products/ejournals/journal/10.1055/s-00035026;;;Ciências da Saúde;Medicina;Ciência da Computação, Medicina, Profissões da Saúde;Scopus;-;-;0,798;Q2;53.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Applied%20Clinical%20Informatics&btnG=
Applied Immunohistochemistry and Molecular Morphology;1533-4058;http://www.appliedimmunohist.com;;;Ciências da Saúde;Medicina;Medicina, Profissões da Saúde;Scopus;1,2;Q3;0,472;Q2;83.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Applied%20Immunohistochemistry%20and%20Molecular%20Morphology&btnG=
Applied Nursing Research;1532-8201;https://www.journals.elsevier.com/applied-nursing-research;;;Ciências da Saúde;Enfermagem;Enfermagem;Scopus;2,2;Q2;0,81;Q1;74.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Applied%20Nursing%20Research&btnG=
Applied Radiology;0160-9963;https://www.journals.elsevier.com/academic-radiology;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Applied Radiology.;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Applied Radiology.;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;0,144;Q4;18.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Applied%20Radiology&btnG=
Arab Journal of Gastroenterology;2090-2387;https://www.journals.elsevier.com/arab-journal-of-gastroenterology;;;Ciências da Saúde;Medicina;Medicina;Scopus;1,1;Q4;0,323;Q3;28.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Arab%20Journal%20of%20Gastroenterology&btnG=
Arab Journal of Urology;2090-598X;https://www.tandfonline.com/toc/taju20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Arab Journal of Urology.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Arab Journal of Urology.;Ciências da Saúde;Medicina;Medicina;Scopus;1,2;Q3;0,429;Q3;37.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Arab%20Journal%20of%20Urology&btnG=
Archive of Ukrainian Ophthalmology;2309-8147;http://ophthalm.dsmu.edu.ua/auo.html;Aims and Scope: Published by Publishing House Zaslavsky. Focuses on scholarly research in the field of Archive of Ukrainian Ophthalmology.;Aims and Scope: Published by Publishing House Zaslavsky. Focuses on scholarly research in the field of Archive of Ukrainian Ophthalmology.;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;0,122;Q4;2.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archive%20of%20Ukrainian%20Ophthalmology&btnG=
Archives de Pediatrie;0929-693X;https://www.journals.elsevier.com/archives-de-pediatrie;;;Ciências da Saúde;Medicina;Medicina;Scopus;1,4;Q3;0,504;Q2;46.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20de%20Pediatrie&btnG=
Archives des Maladies Professionnelles et de l'Environnement;1775-8785;https://www.journals.elsevier.com/archives-des-maladies-professionnelles-et-de-lenvironnement;;;Ciências da Saúde;Medicina;Medicina;Scopus;0,3;Q4;0,192;Q4;12.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20des%20Maladies%20Professionnelles%20et%20de%20l%27Environnement&btnG=
Archives des Maladies du Coeur et des Vaisseaux - Pratique;1261-694X;https://www.journals.elsevier.com/archives-des-maladies-du-coeur-et-des-vaisseaux-pratique;;;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;0,101;Q4;3.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20des%20Maladies%20du%20Coeur%20et%20des%20Vaisseaux%20-%20Pratique&btnG=
Archives of Animal Nutrition;1477-2817;https://www.tandfonline.com/toc/gaan20/current;;;Ciências da Saúde;Medicina;Ciências Agrárias e Biológicas, Medicina, Veterinária;Scopus;1,5;Q2;0,415;Q2;63.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20of%20Animal%20Nutrition&btnG=
Archives of Cardiovascular Diseases;1875-2136;https://www.journals.elsevier.com/archives-of-cardiovascular-diseases;;;Ciências da Saúde;Medicina;Medicina;Scopus;2,2;Q2;0,768;Q2;66.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20of%20Cardiovascular%20Diseases&btnG=
Archives of Cardiovascular Diseases Supplements;1878-6480;https://www.journals.elsevier.com/archives-of-cardiovascular-diseases-supplements;;;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;0,133;Q4;4.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20of%20Cardiovascular%20Diseases%20Supplements&btnG=
Archives of Clinical Neuropsychology;0887-6177;https://academic.oup.com/acn;;;Ciências da Saúde;Medicina;Medicina, Psicologia;Scopus;2,1;Q2;0,648;Q2;126.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20of%20Clinical%20Neuropsychology&btnG=
Archives of Craniofacial Surgery;2287-1152;http://www.kcpca.or.kr;;;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;0,607;Q2;18.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20of%20Craniofacial%20Surgery&btnG=
Archives of Disease in Childhood;0003-9888;http://adc.bmj.com/;;;Ciências da Saúde;Medicina;Medicina;Scopus;3,2;Q1;0,917;Q1;176.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20of%20Disease%20in%20Childhood&btnG=
Archives of Disease in Childhood: Education and Practice Edition;1743-0593;https://ep.bmj.com/;;;Ciências da Saúde;Medicina;Medicina;Scopus;0,9;Q3;0,248;Q3;47.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20of%20Disease%20in%20Childhood%3A%20Education%20and%20Practice%20Edition&btnG=
Archives of Disease in Childhood: Fetal and Neonatal Edition;1359-2998;https://fn.bmj.com/;;;Ciências da Saúde;Medicina;Medicina;Scopus;3,6;Q1;1,29;Q1;142.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20of%20Disease%20in%20Childhood%3A%20Fetal%20and%20Neonatal%20Edition&btnG=
Archives of Iranian Medicine;1029-2977;http://razi.ams.ac.ir/AIM/index.html;;;Ciências da Saúde;Medicina;Medicina;Scopus;1;Q3;0,416;Q3;65.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20of%20Iranian%20Medicine&btnG=
Archives of Medical Research;0188-4409;https://www.journals.elsevier.com/archives-of-medical-research;;;Ciências da Saúde;Medicina;Medicina;Scopus;3,4;Q2;1,042;Q1;104.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20of%20Medical%20Research&btnG=
Archives of Orofacial Sciences;2231-7163;http://www.dental.usm.my/aos/index.html;Aims and Scope: Published by Universiti Sains Malaysia. Focuses on academic publications in Archives of Orofacial Sciences.;Aims and Scope: Published by Universiti Sains Malaysia. Focuses on academic publications in Archives of Orofacial Sciences.;Ciências da Saúde;Odontologia;Odontologia;Scopus;0,3;Q4;0,145;Q3;6.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20of%20Orofacial%20Sciences&btnG=
Archives of Pathology and Laboratory Medicine;1543-2165;http://www.archivesofpathology.org;;;Ciências da Saúde;Medicina;Medicina, Profissões da Saúde;Scopus;3,2;Q2;1,131;Q1;149.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20of%20Pathology%20and%20Laboratory%20Medicine&btnG=
Archives of Pediatric Infectious Diseases;2322-1836;http://www.pedinfect.com;;;Ciências da Saúde;Medicina;Medicina;Scopus;0,4;Q4;0,207;Q3;19.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20of%20Pediatric%20Infectious%20Diseases&btnG=
Archives of Physical Medicine and Rehabilitation;1532-821X;https://www.journals.elsevier.com/archives-of-physical-medicine-and-rehabilitation;;;Ciências da Saúde;Medicina;Medicina, Profissões da Saúde;Scopus;3,7;Q1;1,048;Q1;235.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20of%20Physical%20Medicine%20and%20Rehabilitation&btnG=
Archives of Psychiatric Nursing;1532-8228;https://www.journals.elsevier.com/archives-of-psychiatric-nursing;;;Ciências da Saúde;Medicina;Medicina;Scopus;2,2;Q2;0,803;Q2;71.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20of%20Psychiatric%20Nursing&btnG=
Archives of Psychiatry and Psychotherapy;2083-828X;http://www.archivespp.pl;;;Ciências da Saúde;Medicina;Medicina, Psicologia;Scopus;0,3;Q4;0,234;Q4;19.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20of%20Psychiatry%20and%20Psychotherapy&btnG=
Archives of Suicide Research;1543-6136;https://www.tandfonline.com/toc/usui20/current;;;Ciências da Saúde;Medicina;Medicina, Psicologia;Scopus;2;Q2;1,277;Q1;73.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20of%20Suicide%20Research&btnG=
Archives of legal medicine;2950-3949;;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Archives of Legal Medicine.;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Archives of Legal Medicine.;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;0,183;Q4;8.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archives%20of%20legal%20medicine&btnG=
Archivos de Bronconeumologia;1579-2129;https://www.journals.elsevier.com/archivos-de-bronconeumologia;;;Ciências da Saúde;Medicina;Medicina;Scopus;9,2;Q1;0,608;Q2;64.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archivos%20de%20Bronconeumologia&btnG=
Archivos de Neurociencias;1028-5938;;;;Ciências da Saúde;Medicina;Medicina, Neurociência;Scopus;-;-;0,104;Q4;7.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archivos%20de%20Neurociencias&btnG=
Archivos de la Sociedad Espanola de Oftalmologia;0365-6691;https://www.journals.elsevier.com/archivos-de-la-sociedad-espanola-de-oftalmologia;;;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;0,328;Q3;30.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Archivos%20de%20la%20Sociedad%20Espanola%20de%20Oftalmologia&btnG=
Arkhiv Patologii;2309-1266;http://www.mediasphera.ru/journals/arh.pat;;;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;0,16;Q4;15.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Arkhiv%20Patologii&btnG=
Arquivos em Odontologia;2178-1990;http://www.odonto.ufmg.br/index.php/arquivos-em-odontologia;;;Ciências da Saúde;Odontologia;Odontologia;Scopus;-;-;0,118;Q4;3.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Arquivos%20em%20Odontologia&btnG=
Arteriosclerosis, Thrombosis, and Vascular Biology;1079-5642;http://atvb.ahajournals.org/;Aims and Scope: Published by Ovid Technologies (Wolters Kluwer) - American Heart Association. Focuses on academic publications in Arteriosclerosis Thrombosis and Vascular Biology.;Aims and Scope: Published by Ovid Technologies (Wolters Kluwer) - American Heart Association. Focuses on academic publications in Arteriosclerosis Thrombosis and Vascular Biology.;Ciências da Saúde;Medicina;Medicina;Scopus;7,4;Q1;2,884;Q1;310.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Arteriosclerosis%2C%20Thrombosis%2C%20and%20Vascular%20Biology&btnG=
Arthritis Care and Research;2151-464X;https://onlinelibrary.wiley.com/journal/21514658;Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on scholarly research in the field of Arthritis Care & Research.;Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on scholarly research in the field of Arthritis Care & Research.;Ciências da Saúde;Medicina;Medicina;Scopus;3,3;Q2;1,605;Q1;207.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Arthritis%20Care%20and%20Research&btnG=
Arthroscopy - Journal of Arthroscopic and Related Surgery;0749-8063;https://www.sciencedirect.com/journal/arthroscopy-the-journal-of-arthroscopic-and-related-surgery;Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on academic publications in Arthroscopy The Journal of Arthroscopic and Related Surgery.;Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on academic publications in Arthroscopy The Journal of Arthroscopic and Related Surgery.;Ciências da Saúde;Medicina;Medicina, Profissões da Saúde;Scopus;5,4;Q1;2,11;Q1;203.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Arthroscopy%20-%20Journal%20of%20Arthroscopic%20and%20Related%20Surgery&btnG=
Arthroskopie;0933-7946;https://www.wikidata.org/wiki/Q15751191;Aims and Scope: Published by Springer-Verlag. Focuses on scholarly research in the field of Arthroskopie.;Aims and Scope: Published by Springer-Verlag. Focuses on scholarly research in the field of Arthroskopie.;Ciências da Saúde;Medicina;Medicina;Scopus;0,1;Q4;0,146;Q4;9.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Arthroskopie&btnG=
Artificial Intelligence Surgery;2771-0408;;Aims and Scope: Published by OAE Publishing Inc.. Focuses on academic publications in Artificial Intelligence Surgery.;Aims and Scope: Published by OAE Publishing Inc.. Focuses on academic publications in Artificial Intelligence Surgery.;Ciências da Saúde;Medicina;Ciência da Computação, Engenharia, Medicina;Scopus;-;-;0,499;Q2;8.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Artificial%20Intelligence%20Surgery&btnG=
Artificial Intelligence in Medicine;0933-3657;https://www.sciencedirect.com/journal/artificial-intelligence-in-medicine;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Artificial Intelligence in Medicine.;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Artificial Intelligence in Medicine.;Ciências da Saúde;Medicina;Ciência da Computação, Medicina;Scopus;6,2;Q1;1,659;Q1;130.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Artificial%20Intelligence%20in%20Medicine&btnG=
Arts and Health;1753-3023;https://www.tandfonline.com/toc/rahe20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Arts & Health.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Arts & Health.;Ciências da Saúde;Medicina;Artes e Humanidades, Medicina;Scopus;1,5;Q3;0,625;Q1;30.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Arts%20and%20Health&btnG=
Arts in Psychotherapy;0197-4556;https://www.journals.elsevier.com/the-arts-in-psychotherapy;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of The Arts in Psychotherapy.;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of The Arts in Psychotherapy.;Ciências da Saúde;Medicina;Medicina, Profissões da Saúde, Psicologia;Scopus;1,5;Q2;0,491;Q2;57.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Arts%20in%20Psychotherapy&btnG=
Asia Pacific Journal of Clinical Nutrition;1440-6047;;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Asia Pacific Journal of Clinical Nutrition.;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Asia Pacific Journal of Clinical Nutrition.;Ciências da Saúde;Medicina;Enfermagem, Medicina;Scopus;1,5;Q4;0,532;Q2;96.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Asia%20Pacific%20Journal%20of%20Clinical%20Nutrition&btnG=
Asia-Pacific Journal of Clinical Oncology;1743-7555;https://onlinelibrary.wiley.com/journal/17437563;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Asia-Pacific Journal of Clinical Oncology.;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Asia-Pacific Journal of Clinical Oncology.;Ciências da Saúde;Medicina;Medicina;Scopus;1,6;Q4;0,565;Q2;49.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Asia-Pacific%20Journal%20of%20Clinical%20Oncology&btnG=
Asia-Pacific Psychiatry;1758-5872;https://onlinelibrary.wiley.com/journal/17585872;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Asia-Pacific Psychiatry.;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Asia-Pacific Psychiatry.;Ciências da Saúde;Medicina;Medicina;Scopus;3,4;Q2;1,107;Q1;40.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Asia-Pacific%20Psychiatry&btnG=
AsiaIntervention;2426-3958;;Aims and Scope: Published by Europa Digital and Publishing. Focuses on academic publications in AsiaIntervention.;Aims and Scope: Published by Europa Digital and Publishing. Focuses on academic publications in AsiaIntervention.;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;0,422;Q3;9.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AsiaIntervention&btnG=
