Título da Revista;ISSN;Homepage;Aims and Scope;Aims and Scope (translate);Grande Area;Area do Conhecimento;Subárea do Conhecimento;Indexador;JIF;Quartil JCR;SJR;SJR Best Quartile;H index;Índice h5
ARAMAIC STUDIES;1477-8351;http://openurl.ingenta.com/content?genre=journal&issn=1477-8351;;;Ciências Exatas e da Terra;Matemática;Matemática;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ARAMAIC%20STUDIES&btnG=
ARFTG Microwave Measurement Conference, ARFTG;2767-8776;;;;Ciências Exatas e da Terra;Astronomia;Ciência da Computação, Engenharia, Física e Astronomia;Scopus;-;-;-;-;2.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ARFTG%20Microwave%20Measurement%20Conference%2C%20ARFTG&btnG=
ARS BREVIS;1136-3711;http://www.raco.cat/index.php/ArsBrevis/issue/view/8044/showToc;;;Ciências Exatas e da Terra;Matemática;Matemática;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ARS%20BREVIS&btnG=
ART BULLETIN;0004-3079;https://www.tandfonline.com/toc/rcab20/current;;;Ciências Exatas e da Terra;Probabilidade e Estatística;Ciência da Computação, Teoria e Métodos, Matemática, Estatísticas e Probabilidade;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ART%20BULLETIN&btnG=
ART JOURNAL;0004-3249;http://artjournal.collegeart.org/;;;Ciências Exatas e da Terra;Matemática;Matemática;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ART%20JOURNAL&btnG=
ARTE Y CIUDAD-REVISTA DE INVESTIGACION;2254-2930;http://arteyciudad.com/index.php/numeros-anteriores;;;Ciências Exatas e da Terra;Matemática;Matemática;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ARTE%20Y%20CIUDAD-REVISTA%20DE%20INVESTIGACION&btnG=
ARTHRITIS & RHEUMATOLOGY;2326-5191;https://onlinelibrary.wiley.com/journal/23265205;;;Ciências Exatas e da Terra;Matemática;Matemática;Web of Science;1;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ARTHRITIS%20%26%20RHEUMATOLOGY&btnG=
ARTHROPOD STRUCTURE & DEVELOPMENT;1467-8039;https://www.journals.elsevier.com/arthropod-structure-and-development;;;Ciências Exatas e da Terra;Probabilidade e Estatística;Estatística e Probabilidade;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ARTHROPOD%20STRUCTURE%20%26%20DEVELOPMENT&btnG=
ARTIFICIAL ORGANS;0160-564X;https://onlinelibrary.wiley.com/journal/15251594;;;Ciências Exatas e da Terra;Matemática;Matemática;Web of Science;0,6;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ARTIFICIAL%20ORGANS&btnG=
ARTS IN PSYCHOTHERAPY;0197-4556;https://www.journals.elsevier.com/the-arts-in-psychotherapy;;;Ciências Exatas e da Terra;Matemática;Matemática;Web of Science;1,4;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ARTS%20IN%20PSYCHOTHERAPY&btnG=
ASIA PACIFIC TRANSLATION AND INTERCULTURAL STUDIES;2330-6343;https://www.tandfonline.com/toc/rtis20/current;;;Ciências Exatas e da Terra;Probabilidade e Estatística;Ciência da Computação, Aplicações Interdisciplinares, Estatísticas e Probabilidade;Web of Science;1,6;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIA%20PACIFIC%20TRANSLATION%20AND%20INTERCULTURAL%20STUDIES&btnG=
ASIA PACIFIC VIEWPOINT;1360-7456;https://onlinelibrary.wiley.com/journal/14678373;;;Ciências Exatas e da Terra;Ciência da Computação;Ciência da Computação, Engenharia de Software;Web of Science;18,3;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIA%20PACIFIC%20VIEWPOINT&btnG=
ASIA POLICY;1559-0968;http://asiapolicy.nbr.org;;;Ciências Exatas e da Terra;Ciência da Computação;Ciência da Computação, Hardware e Arquitetura, Ciência da Computação, Engenharia de Software;Web of Science;2,3;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIA%20POLICY&btnG=
ASIA-PACIFIC JOURNAL OF ACCOUNTING & ECONOMICS;1608-1625;https://www.tandfonline.com/toc/raae20/current;;;Ciências Exatas e da Terra;Ciência da Computação;Ciência da Computação, Engenharia de Software;Web of Science;1,7;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIA-PACIFIC%20JOURNAL%20OF%20ACCOUNTING%20%26%20ECONOMICS&btnG=
ASIA-PACIFIC JOURNAL OF CLINICAL ONCOLOGY;1743-7555;https://onlinelibrary.wiley.com/journal/17437563;;;Ciências Exatas e da Terra;Ciência da Computação;Ciência da Computação, Engenharia de Software;Web of Science;2,9;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIA-PACIFIC%20JOURNAL%20OF%20CLINICAL%20ONCOLOGY&btnG=
ASIA-PACIFIC JOURNAL OF OCEAN LAW AND POLICY;2451-9367;http://booksandjournals.brillonline.com/content/journals/24519391;;;Ciências Exatas e da Terra;Ciência da Computação;Ciência da Computação, Hardware e Arquitetura, Ciência da Computação, Sistemas de Informação, Ciência da Computação, Engenharia de Software, Ciência da Computação, Teoria e Métodos;Web of Science;1,5;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIA-PACIFIC%20JOURNAL%20OF%20OCEAN%20LAW%20AND%20POLICY&btnG=
ASIA-PACIFIC PSYCHIATRY;1758-5864;https://onlinelibrary.wiley.com/journal/17585872;;;Ciências Exatas e da Terra;Ciência da Computação;Ciência da Computação, Elétrica e Eletrônica, Hardware e Arquitetura, Ciência da Computação, Aplicações Interdisciplinares, Aplicações Interdisciplinares, Engenharia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIA-PACIFIC%20PSYCHIATRY&btnG=
ASIAN ACADEMY OF MANAGEMENT JOURNAL;1394-2603;http://web.usm.my/aamj/;;;Ciências Exatas e da Terra;Ciência da Computação;Ciência da Computação, Engenharia de Software;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIAN%20ACADEMY%20OF%20MANAGEMENT%20JOURNAL&btnG=
ASIAN BIOTECHNOLOGY AND DEVELOPMENT REVIEW;0972-7566;;;;Ciências Exatas e da Terra;Ciência da Computação;Ciência da Computação, Hardware e Arquitetura, Ciência da Computação, Engenharia de Software;Web of Science;3,1;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIAN%20BIOTECHNOLOGY%20AND%20DEVELOPMENT%20REVIEW&btnG=
ASIAN ECONOMIC JOURNAL;1351-3958;https://onlinelibrary.wiley.com/journal/14678381;;;Ciências Exatas e da Terra;Ciência da Computação;Ciência da Computação, Engenharia de Software, Ciência da Computação, Teoria e Métodos;Web of Science;1,5;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIAN%20ECONOMIC%20JOURNAL&btnG=
ASIAN JOURNAL OF ENDOSCOPIC SURGERY;1758-5902;https://onlinelibrary.wiley.com/journal/17585910;;;Ciências Exatas e da Terra;Oceanografia;Oceanografia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIAN%20JOURNAL%20OF%20ENDOSCOPIC%20SURGERY&btnG=
ASIAN JOURNAL OF MANAGEMENT CASES;0972-8201;https://us.sagepub.com/en-us/nam/journal/asian-journal-management-cases;;;Ciências Exatas e da Terra;Matemática;Matemática;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIAN%20JOURNAL%20OF%20MANAGEMENT%20CASES&btnG=
ASIAN ONCOLOGY NURSING;2287-2434;http://www.aon.or.kr;;;Ciências Exatas e da Terra;Ciência da Computação;Medicina de Cuidados Intensivos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIAN%20ONCOLOGY%20NURSING&btnG=
ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY;0125-877X;http://www.allergythai.org/index.php?name=asianpacificjournalofallergyandimmunology;;;Ciências Exatas e da Terra;Ciência da Computação;Medicina de Cuidados Intensivos, Enfermagem;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIAN%20PACIFIC%20JOURNAL%20OF%20ALLERGY%20AND%20IMMUNOLOGY&btnG=
AUSTRALIAN FARM BUSINESS MANAGEMENT JOURNAL;1449-5937;http://www.afbmnetwork.orange.usyd.edu.au/afbmjournal/;;;Ciências Exatas e da Terra;Matemática;Matemática;Web of Science;0,5;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AUSTRALIAN%20FARM%20BUSINESS%20MANAGEMENT%20JOURNAL&btnG=
AUSTRALIAN HUMANITIES REVIEW;1835-8063;http://www.lib.latrobe.edu.au/AHR;;;Ciências Exatas e da Terra;Oceanografia;Oceanografia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AUSTRALIAN%20HUMANITIES%20REVIEW&btnG=
AUSTRALIAN INTELLECTUAL PROPERTY JOURNAL;1038-1635;;;;Ciências Exatas e da Terra;Oceanografia;Oceanografia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AUSTRALIAN%20INTELLECTUAL%20PROPERTY%20JOURNAL&btnG=
AUSTRALIAN JOURNAL OF CIVIL ENGINEERING;1448-8353;https://www.tandfonline.com/toc/tcen20/current;;;Ciências Exatas e da Terra;Geociências;Geologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AUSTRALIAN%20JOURNAL%20OF%20CIVIL%20ENGINEERING&btnG=
AUSTRALIAN JOURNAL OF LANGUAGE AND LITERACY;1038-1562;http://alea.associationonline.com.au/publications/ajll-archive;;;Ciências Exatas e da Terra;Ciência da Computação;Ciência da Computação, Hardware e Arquitetura, Ciência da Computação, Engenharia de Software;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AUSTRALIAN%20JOURNAL%20OF%20LANGUAGE%20AND%20LITERACY&btnG=
AVIAN PATHOLOGY;0307-9457;https://www.tandfonline.com/toc/cavp20/current;;;Ciências Exatas e da Terra;Astronomia;Astronomia e Astrofísica, Geociências, Multidisciplinar;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AVIAN%20PATHOLOGY&btnG=
AVS Quantum Science;2639-0213;https://avs.scitation.org/journal/aqs;;;Ciências Exatas e da Terra;Astronomia;Ciência da Computação, Ciência dos Materiais, Engenharia, Física e Astronomia, Química;Scopus;-;-;1,122;Q1;32.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AVS%20Quantum%20Science&btnG=
Acoustical Science and Technology;1346-3969;https://www.jstage.jst.go.jp/browse/jasj/list/-char/ja;;;Ciências Exatas e da Terra;Astronomia;Física e Astronomia;Scopus;0,6;Q4;0,213;Q3;46.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Acoustical%20Science%20and%20Technology&btnG=
Acoustics Bulletin;0308-437X;;;;Ciências Exatas e da Terra;Astronomia;Física e Astronomia;Scopus;-;-;0,101;Q4;9.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Acoustics%20Bulletin&btnG=
Acta Applicandae Mathematicae;1572-9036;http://www.springerlink.com/content/1572-9036/;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;1;Q3;0,557;Q2;56.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Acta%20Applicandae%20Mathematicae&btnG=
Acta Astronomica;0001-5237;http://acta.astrouw.edu.pl/;;;Ciências Exatas e da Terra;Astronomia;Ciências da Terra e Planetárias, Física e Astronomia;Scopus;0,6;Q4;0,592;Q2;70.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Acta%20Astronomica&btnG=
Acta Chimica Sinica;0567-7351;http://sioc-journal.cn/Jwk_hxxb/EN/0567-7351/home.shtml;;;Ciências Exatas e da Terra;Química;Química;Scopus;1,6;Q3;0,352;Q3;48.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Acta%20Chimica%20Sinica&btnG=
Acta Crystallographica Section A: Foundations and Advances;2053-2733;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5724;;;Ciências Exatas e da Terra;Astronomia;Bioquímica, Ciência dos Materiais, Física e Astronomia, Genética e Biologia Molecular, Química;Scopus;-;-;0,449;Q2;96.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Acta%20Crystallographica%20Section%20A%3A%20Foundations%20and%20Advances&btnG=
Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials;2052-5206;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5740;;;Ciências Exatas e da Terra;Astronomia;Ciência dos Materiais, Física e Astronomia, Medicina;Scopus;-;-;0,438;Q2;51.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Acta%20Crystallographica%20Section%20B%3A%20Structural%20Science%2C%20Crystal%20Engineering%20and%20Materials&btnG=
Acta Crystallographica Section F:Structural Biology Communications;2053-230X;https://onlinelibrary.wiley.com/journal/s2053230x;;;Ciências Exatas e da Terra;Astronomia;Bioquímica, Física e Astronomia, Genética e Biologia Molecular, Medicina;Scopus;-;-;0,37;Q3;48.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Acta%20Crystallographica%20Section%20F%3AStructural%20Biology%20Communications&btnG=
Acta Mathematica;0001-5962;http://www.actamathematica.org/;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;6,7;Q1;8,954;Q1;85.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Acta%20Mathematica&btnG=
Acta Mathematica Universitatis Comenianae;1336-0310;;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;-;-;0,245;Q3;22.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Acta%20Mathematica%20Universitatis%20Comenianae&btnG=
Acta Microscopica;0798-4545;http://actamicroscopica.ivic.gob.ve;;;Ciências Exatas e da Terra;Astronomia;Ciência dos Materiais, Física e Astronomia, Medicina;Scopus;-;-;0,111;Q4;8.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Acta%20Microscopica&btnG=
Acta Physica Polonica B;1509-5770;http://th-www.if.uj.edu.pl/acta;;;Ciências Exatas e da Terra;Astronomia;Física e Astronomia;Scopus;1,4;Q3;0,287;Q3;69.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Acta%20Physica%20Polonica%20B&btnG=
Acta Physica Polonica B, Proceedings Supplement;1899-2358;http://info.ifpan.edu.pl/app;;;Ciências Exatas e da Terra;Astronomia;Física e Astronomia;Scopus;-;-;0,162;Q4;22.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Acta%20Physica%20Polonica%20B%2C%20Proceedings%20Supplement&btnG=
Acta Universitatis Sapientiae, Mathematica;1844-6094;http://www.acta.sapientia.ro/acta-math/matematica-main.htm;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;0,6;Q3;0,267;Q3;16.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Acta%20Universitatis%20Sapientiae%2C%20Mathematica&btnG=
Acta crystallographica. Section C, Structural chemistry;2053-2296;http://onlinelibrary.wiley.com/journal/10.1107/S20532296;;;Ciências Exatas e da Terra;Astronomia;Ciência dos Materiais, Física e Astronomia, Medicina, Química;Scopus;-;-;0,234;Q3;59.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Acta%20crystallographica.%20Section%20C%2C%20Structural%20chemistry&btnG=
Acta et Commentationes Universitatis Tartuensis de Mathematica;1406-2283;;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;0,6;Q3;0,233;Q3;12.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Acta%20et%20Commentationes%20Universitatis%20Tartuensis%20de%20Mathematica&btnG=
Ad Hoc Networks;1570-8705;https://www.sciencedirect.com/journal/ad-hoc-networks;;;Ciências Exatas e da Terra;Ciência da Computação;Ciência da Computação;Scopus;4,8;Q1;1,174;Q1;122.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Ad%20Hoc%20Networks&btnG=
Adiyaman University Journal of Science;2146-586X;http://www.adyufbd.com;;;Ciências Exatas e da Terra;Astronomia;Física e Astronomia, Matemática;Scopus;-;-;0,118;Q4;8.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Adiyaman%20University%20Journal%20of%20Science&btnG=
Advanced Engineering Informatics;1474-0346;https://www.journals.elsevier.com/advanced-engineering-informatics;;;Ciências Exatas e da Terra;Ciência da Computação;Ciência da Computação;Scopus;9,9;Q1;2,021;Q1;136.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advanced%20Engineering%20Informatics&btnG=
Advanced Engineering Materials;1438-1656;http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%291527-2648/homepage/ProductInformation.html;;;Ciências Exatas e da Terra;Astronomia;Ciência dos Materiais, Física e Astronomia;Scopus;3,3;Q2;0,69;Q2;155.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advanced%20Engineering%20Materials&btnG=
Advanced Functional Materials;1616-3028;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1616-3028;;;Ciências Exatas e da Terra;Astronomia;Ciência dos Materiais, Física e Astronomia, Química;Scopus;19;Q1;5,022;Q1;459.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advanced%20Functional%20Materials&btnG=
Advanced Mathematical Models and Applications;2519-4445;http://jomardpublishing.com/journals.aspx?lang=en&id=2;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;-;-;0,352;Q3;13.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advanced%20Mathematical%20Models%20and%20Applications&btnG=
Advanced Optical Materials;2195-1071;https://onlinelibrary.wiley.com/page/journal/21951071/homepage/productinformation.html;;;Ciências Exatas e da Terra;Astronomia;Ciência dos Materiais, Física e Astronomia;Scopus;-;-;1,713;Q1;182.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advanced%20Optical%20Materials&btnG=
Advanced Physical Research;2663-8436;;;;Ciências Exatas e da Terra;Astronomia;Ciência dos Materiais, Física e Astronomia;Scopus;-;-;0,441;Q2;12.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advanced%20Physical%20Research&btnG=
Advanced Quantum Technologies;2511-9044;https://onlinelibrary.wiley.com/journal/25119044;;;Ciências Exatas e da Terra;Astronomia;Ciência da Computação, Ciência dos Materiais, Engenharia, Física e Astronomia, Matemática;Scopus;-;-;0,822;Q1;52.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advanced%20Quantum%20Technologies&btnG=
Advanced Studies: Euro-Tbilisi Mathematical Journal;2667-9930;;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;-;-;0,23;Q4;7.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advanced%20Studies%3A%20Euro-Tbilisi%20Mathematical%20Journal&btnG=
Advances in Applied Mathematics;0196-8858;https://www.journals.elsevier.com/advances-in-applied-mathematics;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;1,3;Q2;0,671;Q2;60.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advances%20in%20Applied%20Mathematics&btnG=
Advances in Artificial Intelligence and Machine Learning;2582-9793;;;;Ciências Exatas e da Terra;Ciência da Computação;Ciência da Computação;Scopus;-;-;0,213;Q4;9.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advances%20in%20Artificial%20Intelligence%20and%20Machine%20Learning&btnG=
Advances in Computational Science and Engineering;2837-1739;;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;-;-;0,52;Q2;6.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advances%20in%20Computational%20Science%20and%20Engineering&btnG=
Advances in Differential Equations;1079-9389;https://projecteuclid.org/journals/advances-in-differential-equations;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;1,9;Q1;1,102;Q1;63.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advances%20in%20Differential%20Equations&btnG=
Advances in Mathematical Sciences and Applications;1343-4373;;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;-;-;0,224;Q4;7.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advances%20in%20Mathematical%20Sciences%20and%20Applications&btnG=
Advances in Mathematics;1090-2082;https://www.journals.elsevier.com/advances-in-mathematics;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;1,5;Q1;2,27;Q1;124.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advances%20in%20Mathematics&btnG=
Advances in Nano Research;2287-237X;http://www.techno-press.org/?journal=anr&subpage=1#;;;Ciências Exatas e da Terra;Astronomia;Bioquímica, Ciência dos Materiais, Engenharia, Engenharia Química, Física e Astronomia, Genética e Biologia Molecular;Scopus;3,2;Q3;0,394;Q2;45.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advances%20in%20Nano%20Research&btnG=
Advances in Nonlinear Variational Inequalities (discontinued);1092-910X;;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;-;-;-;-;11.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advances%20in%20Nonlinear%20Variational%20Inequalities%20%28discontinued%29&btnG=
Advances in Physics;1460-6976;https://www.tandfonline.com/toc/tadp20/current;;;Ciências Exatas e da Terra;Astronomia;Física e Astronomia;Scopus;13,8;Q1;1,056;Q1;130.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advances%20in%20Physics&btnG=
Advances in Pure and Applied Mathematics;1869-6090;http://www.reference-global.com/loi/apam;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;0,5;Q3;0,242;Q3;18.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advances%20in%20Pure%20and%20Applied%20Mathematics&btnG=
Advances in Space Research;0273-1177;https://www.journals.elsevier.com/advances-in-space-research;;;Ciências Exatas e da Terra;Astronomia;Ciências da Terra e Planetárias, Engenharia, Física e Astronomia;Scopus;2,8;Q1;0,675;Q1;131.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Advances%20in%20Space%20Research&btnG=
African Journal of Research in Mathematics, Science and Technology Education;1811-7295;https://www.tandfonline.com/toc/rmse20/current;;;Ciências Exatas e da Terra;Astronomia;Ciência da Computação, Ciências Sociais, Engenharia, Física e Astronomia, Matemática;Scopus;0,5;Q4;0,37;Q2;23.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=African%20Journal%20of%20Research%20in%20Mathematics%2C%20Science%20and%20Technology%20Education&btnG=
Aldrichimica Acta;0002-5100;http://www.sigmaaldrich.com/chemistry/chemical-synthesis/learning-center/aldrichimica-acta.html;;;Ciências Exatas e da Terra;Química;Química;Scopus;-;-;0,19;Q4;62.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Aldrichimica%20Acta&btnG=
Alea;1980-0436;http://alea.impa.br/;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;0,6;Q4;0,619;Q2;21.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Alea&btnG=
Algebra Colloquium;0219-1733;http://www.worldscinet.com/ac/ac.shtml;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;0,4;Q4;0,36;Q3;33.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Algebra%20Colloquium&btnG=
Algebra and Discrete Mathematics;2415-721X;http://admjournal.luguniv.edu.ua;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;0,4;Q4;0,346;Q3;13.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Algebra%20and%20Discrete%20Mathematics&btnG=
Algebra and Number Theory;1937-0652;http://www.msp.org/ant;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;1;Q2;1,987;Q1;36.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Algebra%20and%20Number%20Theory&btnG=
Algebraic Statistics;2693-2997;;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;-;-;0,43;Q2;5.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Algebraic%20Statistics&btnG=
Algebraic Structures and their Applications;2423-3447;http://as.yazd.ac.ir;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;-;-;0,193;Q4;7.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Algebraic%20Structures%20and%20their%20Applications&btnG=
Algebraic and Geometric Topology;1472-2747;http://www.msp.warwick.ac.uk/agt/about/journal/about.html;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;-;-;0,961;Q1;35.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Algebraic%20and%20Geometric%20Topology&btnG=
American Journal of Mathematics;1080-6377;http://www.press.jhu.edu/journals/american_journal_of_mathematics/;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;1,7;Q1;2,836;Q1;74.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=American%20Journal%20of%20Mathematics&btnG=
American Mathematical Monthly;0002-9890;http://www.maa.org/pubs/monthly.html;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;0,4;Q4;0,389;Q2;59.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=American%20Mathematical%20Monthly&btnG=
Analitika i Kontrol;2073-1442;;;;Ciências Exatas e da Terra;Química;Química;Scopus;-;-;0,155;Q4;10.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Analitika%20i%20Kontrol&btnG=
Analysis and Applications;1793-6861;http://www.worldscinet.com/aa/aa.shtml;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;2,4;Q1;1,252;Q1;32.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Analysis%20and%20Applications&btnG=
Analysis and PDE;1948-206X;https://msp.org/apde/;;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;1,9;Q1;2,601;Q1;48.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Analysis%20and%20PDE&btnG=
Analytical Chemistry;1520-6882;http://pubs.acs.org/journal/ancham;;;Ciências Exatas e da Terra;Química;Química;Scopus;6,7;Q1;1,358;Q1;390.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Analytical%20Chemistry&btnG=
