"Journal title","ISSN","Categorias","Indexador","Aims and Scope","Aims and Scope (translate)"
"Folia Linguistica Et Litteraria","1800-8542","Humanities, Multidisciplinary","Web of Science - ESCI","Aims and Scope: Published by Faculty of Philology - University of Montenegro. Focuses on scholarly research in the field of Folia linguistica et litteraria.","Aims and Scope: Published by Faculty of Philology - University of Montenegro. Focuses on scholarly research in the field of Folia linguistica et litteraria."
"Folia Malacologica","1506-7629","Zoology","Web of Science - ESCI","Subjects: Biology (General), Zoology. Keywords: mollusca, ecology, evolution, biology, systematics, zoology","Subjects: Biology (General), Zoology. Keywords: mollusca, ecology, evolution, biology, systematics, zoology"
"Folia Microbiologica","0015-5632","Biotechnology & Applied Microbiology, Microbiology","Web of Science - SCIE","This journal takes an open approach that spans general, soil, medical and industrial microbiology, plus some branches of immunology. Folia Microbiologica is ...","This journal takes an open approach that spans general, soil, medical and industrial microbiology, plus some branches of immunology. Folia Microbiologica is ..."
"Folia Morphologica","0015-5659","Anatomy & Morphology","Web of Science - SCIE","Subjects: Human anatomy, Cytology. Keywords: anatomy, histology, histochemistry, morphology, cytology","Subjects: Human anatomy, Cytology. Keywords: anatomy, histology, histochemistry, morphology, cytology"
"Folia Neuropathologica","1641-4640","Neurosciences, Pathology","Web of Science - SCIE","Subjects: Medicine. Keywords: neurology, neuropathology, neuroscience","Subjects: Medicine. Keywords: neurology, neuropathology, neuroscience"
"Folia Oecologica","1336-5266","Ecology, Forestry","Web of Science - ESCI","Aims and Scope: Published by Walter de Gruyter GmbH. Focuses on academic publications in Folia Oecologica.","Aims and Scope: Published by Walter de Gruyter GmbH. Focuses on academic publications in Folia Oecologica."
"Folia Oeconomica Stetinensia","1730-4237","Economics","Web of Science - ESCI","Print ISSN: 1730-4237, Online ISSN: 1898-0198 Folia Oeconomica Stetinensia (FOS) is a journal that publishes research results in...","Print ISSN: 1730-4237, Online ISSN: 1898-0198 Folia Oeconomica Stetinensia (FOS) is a journal that publishes research results in..."
"Folia Parasitologica","0015-5683","Parasitology","Web of Science - SCIE","Research on the molecular genetics of Echinococcus has advanced significantly owing to its relevance in understanding genetic variation, host-parasite interactions, and the transmission of Echinococcus species. A bibliometric analysis was performed using RStudio (Bibliometrix) and VOSviewer to evaluate molecular genetic research on Echinococcus spp. published between 1985 and 2025. Data were extracted from Scopus, Web of Science, PubMed, Europe PMC, and ProQuest. The analysis revealed a steady rise in publications on Echinococcus molecular genetics, accelerating from the early 2000s and peaking around 2017, with a slight... The pathogenicity of haemogregarines and their effects on the health status of ectothermic hosts remain largely unexplored. In this study, we examined the impact of He","Research on the molecular genetics of Echinococcus has advanced significantly owing to its relevance in understanding genetic variation, host-parasite interactions, and the transmission of Echinococcus species. A bibliometric analysis was performed using RStudio (Bibliometrix) and VOSviewer to evaluate molecular genetic research on Echinococcus spp. published between 1985 and 2025. Data were extracted from Scopus, Web of Science, PubMed, Europe PMC, and ProQuest. The analysis revealed a steady rise in publications on Echinococcus molecular genetics, accelerating from the early 2000s and peaking around 2017, with a slight... The pathogenicity of haemogregarines and their effects on the health status of ectothermic hosts remain largely unexplored. In this study, we examined the impact of He"
"Folia Phoniatrica Et Logopaedica","1021-7762","Audiology & Speech-Language Pathology, Otorhinolaryngology, Rehabilitation","Web of Science - SCIE, Web of Science - SSCI","Aims and Scope: Published by S. Karger AG. Focuses on scholarly research in the field of Folia Phoniatrica et Logopaedica.","Aims and Scope: Published by S. Karger AG. Focuses on scholarly research in the field of Folia Phoniatrica et Logopaedica."
"Folia Primatologica","0015-5713","Zoology","Web of Science - SCIE","Aims and Scope: Published by Walter de Gruyter GmbH (Brill). Focuses on scholarly research in the field of Folia Primatologica.","Aims and Scope: Published by Walter de Gruyter GmbH (Brill). Focuses on scholarly research in the field of Folia Primatologica."
"Folk Life-Journal Of Ethnological Studies","0430-8778","Folklore","Web of Science - AHCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Folk Life.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Folk Life."
"Folklore","0015-587X","Folklore","Web of Science - AHCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Folklore.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Folklore."
"Folklor/Edebiyat-Folklore/Literature","1300-7491","Folklore, Literature","Web of Science - ESCI","Porto - Responsive HTML5 Template","Porto - Responsive HTML5 Template"
"Folklore-Electronic Journal Of Folklore","1406-0957","Folklore","Web of Science - AHCI","Aims and Scope: Published by Estonian Literary Museum Scholarly Press. Focuses on scholarly research in the field of Folklore Electronic Journal of Folklore.","Aims and Scope: Published by Estonian Literary Museum Scholarly Press. Focuses on scholarly research in the field of Folklore Electronic Journal of Folklore."
"Folk Music Journal","0531-9684","Folklore, Music","Web of Science - AHCI","Aims and Scope: Published by Sakarya University Rectorate, Scientific Journals Coordinator Esentepe Campus. Focuses on academic publications in Journal of Music and Folklore Studies.","Aims and Scope: Published by Sakarya University Rectorate, Scientific Journals Coordinator Esentepe Campus. Focuses on academic publications in Journal of Music and Folklore Studies."
"Fontes Artis Musicae","0015-6191","Music","Web of Science - AHCI","Home Page Fontes Artis Musicae IAML membership is open to any person or institution interested in the work of the […]","Home Page Fontes Artis Musicae IAML membership is open to any person or institution interested in the work of the […]"
"Fontes Linguae Vasconum","0046-435X","Linguistics, Language & Linguistics, Literature","Web of Science - ESCI","Subjects: Philology. Linguistics. Keywords: basque, linguistics, literature, philology, basque language","Subjects: Philology. Linguistics. Keywords: basque, linguistics, literature, philology, basque language"
"Food Additives And Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment","1944-0049","Chemistry, Applied, Food Science & Technology, Toxicology","Web of Science - SCIE","Aims and Scope: fish species from Charleston Harbor and tributaries, South Carolina, United States: Exposure and risk assessment&quot;. Environmental Research. 171: 266–277","Aims and Scope: fish species from Charleston Harbor and tributaries, South Carolina, United States: Exposure and risk assessment'. Environmental Research. 171: 266–277"
"Food Additives & Contaminants Part B-Surveillance","1939-3210","Chemistry, Applied, Food Science & Technology, Toxicology","Web of Science - SCIE","Aims and Scope: practices, food safety considerations include the origins of food including the practices relating to food labeling, food hygiene, food additives and pesticide","Aims and Scope: practices, food safety considerations include the origins of food including the practices relating to food labeling, food hygiene, food additives and pesticide"
"Food Analytical Methods","1936-9751","Food Science & Technology","Web of Science - SCIE","Food Analytical Methods is a comprehensive journal focusing on the development, optimization, and practical implementation of analytical methods for ...","Food Analytical Methods is a comprehensive journal focusing on the development, optimization, and practical implementation of analytical methods for ..."
"Food And Agricultural Immunology","0954-0105","Chemistry, Applied, Food Science & Technology, Immunology, Toxicology","Web of Science - SCIE","Subjects: Agriculture (General), Immunologic diseases. Allergy. Keywords: food, agriculture, veterinary sciences, immunological analysis, food allergies, chemical sensitivity","Subjects: Agriculture (General), Immunologic diseases. Allergy. Keywords: food, agriculture, veterinary sciences, immunological analysis, food allergies, chemical sensitivity"
"Food And Bioprocess Technology","1935-5130","Food Science & Technology","Web of Science - SCIE","Food and Bioprocess Technology is a multidisciplinary journal covering all aspects of the engineering and science of food processing technologies, from the ...","Food and Bioprocess Technology is a multidisciplinary journal covering all aspects of the engineering and science of food processing technologies, from the ..."
"Food And Bioproducts Processing","0960-3085","Biotechnology & Applied Microbiology, Engineering, Chemical, Food Science & Technology","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food and Bioproducts Processing.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food and Bioproducts Processing."
"Food And Chemical Toxicology","0278-6915","Food Science & Technology, Toxicology","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food and Chemical Toxicology.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food and Chemical Toxicology."
"Food And Drug Law Journal","1064-590X","Food Science & Technology, Nutrition & Dietetics, Pharmacology & Pharmacy, Law","Web of Science - SCIE, Web of Science - SSCI","The Food and Drug Law Journal is a peer-reviewed quarterly devoted to the scholarly analysis of legislation, regulations, court decisions, and public policies.","The Food and Drug Law Journal is a peer-reviewed quarterly devoted to the scholarly analysis of legislation, regulations, court decisions, and public policies."
"Food And Energy Security","2048-3694","Plant Sciences, Food Science & Technology","Web of Science - SCIE","Subjects: Agriculture, Agriculture (General). Keywords: agriculture, food security, energy security, bioenergy, plant science","Subjects: Agriculture, Agriculture (General). Keywords: agriculture, food security, energy security, bioenergy, plant science"
"Food And Environmental Virology","1867-0334","Environmental Sciences, Food Science & Technology, Microbiology, Virology","Web of Science - SCIE","The journal Food and Environmental Virology publishes original articles, notes and reviews on research relating to the transmission of pathogenic viruses via ...","The journal Food and Environmental Virology publishes original articles, notes and reviews on research relating to the transmission of pathogenic viruses via ..."
"Food And Foodways","0740-9710","Anthropology","Web of Science - ESCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Food and Foodways.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Food and Foodways."
"Food & Function","2042-6496","Biochemistry & Molecular Biology, Food Science & Technology","Web of Science - SCIE","Aims and Scope: animal functioning. Human food can be classified in various ways, either by related content or by how it is processed. The number and composition of food groups","Aims and Scope: animal functioning. Human food can be classified in various ways, either by related content or by how it is processed. The number and composition of food groups"
"Food And Humanity","2949-8244","Food Science & Technology","Web of Science - ESCI","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food and Humanity.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food and Humanity."
"Food & Medicine Homology","3006-6867","Nutrition & Dietetics, Food Science & Technology","Web of Science - ESCI","Aims and Scope: because they are mammals, and also because they share a high degree of homology with humans. They are the most commonly used mammalian model organism,","Aims and Scope: because they are mammals, and also because they share a high degree of homology with humans. They are the most commonly used mammalian model organism,"
"Food And Nutrition Bulletin","0379-5721","Food Science & Technology, Nutrition & Dietetics","Web of Science - SCIE","The Food and Nutrition Bulletin (FNB) is a peer-reviewed, academic journal published quarterly. It was founded by the Nevin S. Scrimshaw Internatio...","The Food and Nutrition Bulletin (FNB) is a peer-reviewed, academic journal published quarterly. It was founded by the Nevin S. Scrimshaw Internatio..."
"Food & Nutrition Research","1654-6628","Food Science & Technology, Nutrition & Dietetics","Web of Science - SCIE","food; nutrition; Dietary patterns; Health claims on foods; Molecular nutrition; effects of foods and nutrients","food; nutrition; Dietary patterns; Health claims on foods; Molecular nutrition; effects of foods and nutrients"
"Food And Waterborne Parasitology","2405-6766","Parasitology, Veterinary Sciences","Web of Science - ESCI","Subjects: Infectious and parasitic diseases. Keywords: protozoa, nematodes, cestodes, trematodes, transmission, epidemiology","Subjects: Infectious and parasitic diseases. Keywords: protozoa, nematodes, cestodes, trematodes, transmission, epidemiology"
"Food Bioengineering","2770-2081","Food Science & Technology","Web of Science - ESCI","Subjects: Food processing and manufacture. Keywords: food enzymology, food process engineering, food chemical engineering, food science, future foods, food bioactives","Subjects: Food processing and manufacture. Keywords: food enzymology, food process engineering, food chemical engineering, food science, future foods, food bioactives"
"Food Biophysics","1557-1858","Food Science & Technology","Web of Science - SCIE","Food Biophysics is a specialized journal publishing research on physical and chemical studies of food structure, properties, and functions and their ...","Food Biophysics is a specialized journal publishing research on physical and chemical studies of food structure, properties, and functions and their ..."
"Food Bioscience","2212-4292","Food Science & Technology","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food Bioscience.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food Bioscience."
"Food Biotechnology","0890-5436","Biotechnology & Applied Microbiology, Food Science & Technology","Web of Science - SCIE","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Food Biotechnology.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Food Biotechnology."
"Foodborne Pathogens And Disease","1535-3141","Food Science & Technology","Web of Science - SCIE","Aims and Scope: Foodborne illness (also known as foodborne disease and food poisoning) is any illness resulting from the contamination of food by pathogenic bacteria,","Aims and Scope: Foodborne illness (also known as foodborne disease and food poisoning) is any illness resulting from the contamination of food by pathogenic bacteria,"
"Food Chemistry","0308-8146","Chemistry, Applied, Food Science & Technology, Nutrition & Dietetics","Web of Science - SCIE","Browse through a wide range of high-quality academic journals offered by Elsevier, including open access options, to enrich your research journey.","Browse through a wide range of high-quality academic journals offered by Elsevier, including open access options, to enrich your research journey."
"Food Chemistry: Molecular Sciences","2666-5662","Food Science & Technology","Web of Science - ESCI","Subjects: Nutrition. Foods and food supply. Keywords: food science, food chemistry, molecular science, molecular biology, nutrition, analytical methods","Subjects: Nutrition. Foods and food supply. Keywords: food science, food chemistry, molecular science, molecular biology, nutrition, analytical methods"
"Food Chemistry-X","2590-1575","Chemistry, Applied, Food Science & Technology","Web of Science - SCIE","Subjects: Nutrition. Foods and food supply, Food processing and manufacture. Keywords: bioactive constituents, food additives, contaminants, food chemistry, food biochemistry","Subjects: Nutrition. Foods and food supply, Food processing and manufacture. Keywords: bioactive constituents, food additives, contaminants, food chemistry, food biochemistry"
"Food Control","0956-7135","Food Science & Technology","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food Control.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food Control."
"Food Culture & Society","1552-8014","Sociology","Web of Science - SSCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Food Culture & Society.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Food Culture & Society."
"Food Engineering Reviews","1866-7910","Food Science & Technology","Web of Science - SCIE","Food Engineering Reviews publishes reviews covering all engineering aspects of today’s food scientific research and the food industry. Coverage concentrates ...","Food Engineering Reviews publishes reviews covering all engineering aspects of today’s food scientific research and the food industry. Coverage concentrates ..."
"Food Frontiers","2643-8429","Food Science & Technology","Web of Science - ESCI","Subjects: Nutrition. Foods and food supply, Food processing and manufacture. Keywords: food chemistry, food toxicology, food technology, food packaging, nutrition, global food chain sustainability","Subjects: Nutrition. Foods and food supply, Food processing and manufacture. Keywords: food chemistry, food toxicology, food technology, food packaging, nutrition, global food chain sustainability"
"Food Hydrocolloids","0268-005X","Chemistry, Applied, Food Science & Technology","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food Hydrocolloids.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food Hydrocolloids."
"Food Hydrocolloids For Health","2667-0259","Chemistry, Applied, Food Science & Technology","Web of Science - ESCI","Subjects: Nutrition. Foods and food supply, Nutritional diseases. Deficiency diseases. Keywords: dietary fibre, nutrition, drug delivery systems, hydrocolloids, health, gastrointestinal disease","Subjects: Nutrition. Foods and food supply, Nutritional diseases. Deficiency diseases. Keywords: dietary fibre, nutrition, drug delivery systems, hydrocolloids, health, gastrointestinal disease"
"Food Innovation And Advances","2836-774X","Food Science & Technology","Web of Science - ESCI","Subjects: Food processing and manufacture, Biotechnology. Keywords: food science and technology, green food processing, food biotechnology","Subjects: Food processing and manufacture, Biotechnology. Keywords: food science and technology, green food processing, food biotechnology"
"Food Microbiology","0740-0020","Biotechnology & Applied Microbiology, Food Science & Technology, Microbiology","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food Microbiology.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food Microbiology."
"Food Packaging And Shelf Life","2214-2894","Food Science & Technology","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food Packaging and Shelf Life.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food Packaging and Shelf Life."
"Food Physics","2950-0699","Food Science & Technology","Web of Science - ESCI","Subjects: Food processing and manufacture, Physical and theoretical chemistry. Keywords: food processing technologies, rapid detection of food quality, physical characteristics of food, physics in food manufacturing, physics in agri-product processing","Subjects: Food processing and manufacture, Physical and theoretical chemistry. Keywords: food processing technologies, rapid detection of food quality, physical characteristics of food, physics in food manufacturing, physics in agri-product processing"
"Food Policy","0306-9192","Agricultural Economics & Policy, Food Science & Technology, Nutrition & Dietetics, Economics","Web of Science - SCIE, Web of Science - SSCI","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food Policy.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food Policy."
"Food Production Processing And Nutrition","2661-8974","Food Science & Technology","Web of Science - ESCI","Food Production, Processing and Nutrition is a fully open access peer-reviewed journal that aims to provide a unique dedicated forum for publication of the ...","Food Production, Processing and Nutrition is a fully open access peer-reviewed journal that aims to provide a unique dedicated forum for publication of the ..."
"Food Quality And Preference","0950-3293","Food Science & Technology","Web of Science - SCIE","Browse through a wide range of high-quality academic journals offered by Elsevier, including open access options, to enrich your research journey.","Browse through a wide range of high-quality academic journals offered by Elsevier, including open access options, to enrich your research journey."
"Food Quality And Safety","2399-1399","Food Science & Technology","Web of Science - SCIE","Subjects: Food processing and manufacture. Keywords: food safety, food security, food production, food quality","Subjects: Food processing and manufacture. Keywords: food safety, food security, food production, food quality"
"Food Research International","0963-9969","Food Science & Technology","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food Research International.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food Research International."
"Food Reviews International","8755-9129","Food Science & Technology, Nutrition & Dietetics","Web of Science - SCIE","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Food Reviews International.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Food Reviews International."
"Foods","2304-8158","Food Science & Technology","Web of Science - SCIE","Subjects: Chemical technology. Keywords: food sciences","Subjects: Chemical technology. Keywords: food sciences"
"Food Safety And Health","2835-1096","Food Science & Technology","Web of Science - ESCI","Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on scholarly research in the field of Food Safety and Health.","Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on scholarly research in the field of Food Safety and Health."
"Foods And Raw Materials","2308-4057","Food Science & Technology","Web of Science - ESCI","Aims and Scope: Published by Kemerovo State University. Focuses on scholarly research in the field of Foods and raw materials.","Aims and Scope: Published by Kemerovo State University. Focuses on scholarly research in the field of Foods and raw materials."
"Food Science And Biotechnology","1226-7708","Food Science & Technology","Web of Science - SCIE","Food Science and Biotechnology is an international journal focusing on the physical, chemical, biological, and health aspects of food science and ...","Food Science and Biotechnology is an international journal focusing on the physical, chemical, biological, and health aspects of food science and ..."
"Food Science And Human Wellness","2213-4530","Food Science & Technology, Nutrition & Dietetics","Web of Science - SCIE","Subjects: Nutrition. Foods and food supply. Keywords: food biochemistry, food microbiology, nutrition and immunology, food safety, food safety and toxicology","Subjects: Nutrition. Foods and food supply. Keywords: food biochemistry, food microbiology, nutrition and immunology, food safety, food safety and toxicology"
"Food Science & Nutrition","2048-7177","Food Science & Technology","Web of Science - SCIE","Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on scholarly research in the field of Food Science & Nutrition.","Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on scholarly research in the field of Food Science & Nutrition."
"Food Science And Technology International","1082-0132","Chemistry, Applied, Food Science & Technology","Web of Science - SCIE","INDEXED IN MEDLINEFood Science and Technology International (FSTI) is a highly ranked, peer-reviewed scholarly journal publishing high-quality arti...","INDEXED IN MEDLINEFood Science and Technology International (FSTI) is a highly ranked, peer-reviewed scholarly journal publishing high-quality arti..."
"Food Science And Technology Research","1344-6606","Food Science & Technology","Web of Science - SCIE","Aims and Scope: Published by Japanese Society for Food Science and Technology. Focuses on scholarly research in the field of Food Science and Technology Research.","Aims and Scope: Published by Japanese Society for Food Science and Technology. Focuses on scholarly research in the field of Food Science and Technology Research."
"Food Science Of Animal Resources","2636-0772","Food Science & Technology","Web of Science - SCIE","Food Science of Animal Resources (Food Sci. Anim. Resour.) is an international, peer-reviewed bimonthly journal publishing original research and reviews on basic and applied aspects of the use of animal resources including the meat, egg, dairy, and edible insect/worm products. Food Sci. Anim. Resour. is published and distributed by the Korean Society for Food Science of Animal Resources.","Food Science of Animal Resources (Food Sci. Anim. Resour.) is an international, peer-reviewed bimonthly journal publishing original research and reviews on basic and applied aspects of the use of animal resources including the meat, egg, dairy, and edible insect/worm products. Food Sci. Anim. Resour. is published and distributed by the Korean Society for Food Science of Animal Resources."
"Food Security","1876-4517","Food Science & Technology","Web of Science - SCIE","Food Security – The Science, Sociology and Economics of Food Production and Access to Food is an interdisciplinary journal that address the global challenges ...","Food Security – The Science, Sociology and Economics of Food Production and Access to Food is an interdisciplinary journal that address the global challenges ..."
"Food Structure-Netherlands","2213-3291","Food Science & Technology","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food Structure.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food Structure."
"Food Technology And Biotechnology","1330-9862","Biotechnology & Applied Microbiology, Food Science & Technology","Web of Science - SCIE","Cover image by J. Blee et al. (pp. 247–255).","Cover image by J. Blee et al. (pp. 247–255)."
"Food Webs","2352-2496","Biodiversity Conservation, Ecology","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food Webs.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Food Webs."
"Foot And Ankle Clinics","1083-7515","Orthopedics","Web of Science - SCIE","Aims and Scope: or knee-ankle-foot orthoses, which span the knee, ankle, and foot; TLSO, or thoracic-lumbar-sacral orthoses, supporting the thoracic, lumbar and sacral","Aims and Scope: or knee-ankle-foot orthoses, which span the knee, ankle, and foot; TLSO, or thoracic-lumbar-sacral orthoses, supporting the thoracic, lumbar and sacral"
"Foot & Ankle International","1071-1007","Orthopedics","Web of Science - SCIE","Aims and Scope: support. Some examples include KAFO, or knee-ankle-foot orthoses, which span the knee, ankle, and foot; TLSO, or thoracic-lumbar-sacral orthoses, supporting","Aims and Scope: support. Some examples include KAFO, or knee-ankle-foot orthoses, which span the knee, ankle, and foot; TLSO, or thoracic-lumbar-sacral orthoses, supporting"
"Foot & Ankle Specialist","1938-6400","Orthopedics","Web of Science - ESCI","Aims and Scope: Foot &amp; Ankle Specialist is a bimonthly peer-reviewed medical journal that covers the field of orthopedics. The editors-in-chief are Gregory C. Berlet","Aims and Scope: Foot &amp; Ankle Specialist is a bimonthly peer-reviewed medical journal that covers the field of orthopedics. The editors-in-chief are Gregory C. Berlet"
"Foot And Ankle Surgery","1268-7731","Orthopedics","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Foot and Ankle Surgery.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Foot and Ankle Surgery."
"Footwear Science","1942-4280","Ergonomics","Web of Science - ESCI","Aims and Scope: Footwear or footgear refers to garments worn on the feet, which typically serve the purpose of protection against adversities of the environment such as","Aims and Scope: Footwear or footgear refers to garments worn on the feet, which typically serve the purpose of protection against adversities of the environment such as"
"Forces In Mechanics","2666-3597","Materials Science, Multidisciplinary, Mechanics","Web of Science - ESCI","Subjects: Mechanics of engineering. Applied mechanics, Technology. Keywords: solid mechanics, mechanics of materials, structural mechanics, computational mechanics, biomechanics, composite materials","Subjects: Mechanics of engineering. Applied mechanics, Technology. Keywords: solid mechanics, mechanics of materials, structural mechanics, computational mechanics, biomechanics, composite materials"
"Fordham Law Review","0015-704X","Law","Web of Science - SSCI","Aims and Scope: The Fordham Law Review is a student-run law journal and honor society associated with the Fordham University School of Law that covers a wide range of","Aims and Scope: The Fordham Law Review is a student-run law journal and honor society associated with the Fordham University School of Law that covers a wide range of"
"Forecasting","2571-9394","Multidisciplinary Sciences","Web of Science - ESCI","Subjects: Science (General), Mathematics. Keywords: climate forecasting, atmospheric science forecasting, hydrological forecasting, supply chain management, economic and econometric forecasting, demand planning","Subjects: Science (General), Mathematics. Keywords: climate forecasting, atmospheric science forecasting, hydrological forecasting, supply chain management, economic and econometric forecasting, demand planning"
"Foregut-The Journal Of The American Foregut Society","2634-5161","Gastroenterology & Hepatology","Web of Science - ESCI","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Foregut The Journal of the American Foregut Society.","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Foregut The Journal of the American Foregut Society."
"Foreign Affairs","0015-7120","International Relations","Web of Science - SSCI","Foreign Affairs is the leading magazine for in-depth analysis and debate of foreign policy, geopolitics and international affairs","Foreign Affairs is the leading magazine for in-depth analysis and debate of foreign policy, geopolitics and international affairs"
"Foreign Language Annals","0015-718X","Education & Educational Research, Linguistics","Web of Science - SSCI","Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Foreign Language Annals.","Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Foreign Language Annals."
"Foreign Policy Analysis","1743-8586","International Relations","Web of Science - SSCI","Aims and Scope: Published by Oxford University Press. Focuses on scholarly research in the field of Foreign Policy Analysis.","Aims and Scope: Published by Oxford University Press. Focuses on scholarly research in the field of Foreign Policy Analysis."
"Foreign Trade Review","0015-7325","Business, Economics","Web of Science - ESCI","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Foreign Trade Review.","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Foreign Trade Review."
"Forensic Chemistry","2468-1709","Chemistry, Analytical","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Forensic Chemistry.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Forensic Chemistry."
"Forensic Imaging","2666-2264","Radiology, Nuclear Medicine & Medical Imaging","Web of Science - ESCI","Aims and Scope: Digital forensics (sometimes known as digital forensic science) is a branch of forensic science encompassing the recovery, investigation, examination","Aims and Scope: Digital forensics (sometimes known as digital forensic science) is a branch of forensic science encompassing the recovery, investigation, examination"
"Forensic Science International","0379-0738","Medicine, Legal","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Forensic Science International.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Forensic Science International."
"Forensic Science International-Digital Investigation","2666-2817","Computer Science, Information Systems, Interdisciplinary Applications","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Forensic Science International Digital Investigation.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Forensic Science International Digital Investigation."
"Forensic Science International-Genetics","1872-4973","Genetics & Heredity, Medicine, Legal","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Forensic Science International Genetics.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Forensic Science International Genetics."
"Forensic Science International Genetics Supplement Series","1875-1768","Genetics & Heredity","Web of Science - ESCI","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Forensic Science International Genetics Supplement Series.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Forensic Science International Genetics Supplement Series."
"Forensic Science International-Synergy","2589-871X","Medicine, Legal","Web of Science - ESCI","Subjects: Criminal law and procedure. Keywords: forensic sciences, criminology, criminal justice","Subjects: Criminal law and procedure. Keywords: forensic sciences, criminology, criminal justice"
"Forensic Science Medicine And Pathology","1547-769X","Medicine, Legal, Pathology","Web of Science - SCIE","Forensic Science, Medicine and Pathology explores all aspects of modern day forensics, applying equally to children or adults, either living or the deceased. ...","Forensic Science, Medicine and Pathology explores all aspects of modern day forensics, applying equally to children or adults, either living or the deceased. ..."
