Título da Revista;ISSN;Homepage;Aims and Scope;Aims and Scope (translate);Grande Area;Area do Conhecimento;Subárea do Conhecimento;Indexador;JIF;Quartil JCR;SJR;SJR Best Quartile;H index;Índice h5
Journal of Pharmacological and Toxicological Methods;1873-488X;https://www.journals.elsevier.com/journal-of-pharmacological-and-toxicological-methods;;;Ciências Biológicas;Farmacologia;Farmacologia, Toxicologia e Produtos Farmacêuticos;Scopus;1,8;Q3;0,547;Q3;89.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Pharmacological%20and%20Toxicological%20Methods&btnG=
Journal of Pharmacology and Experimental Therapeutics;1521-0103;http://jpet.aspetjournals.org/;;;Ciências Biológicas;Biologia Geral;Bioquímica, Farmacologia, Genética e Biologia Molecular, Toxicologia e Farmacêutica;Scopus;3,8;Q2;0,921;Q2;254.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Pharmacology%20and%20Experimental%20Therapeutics&btnG=
Journal of Pharmacy and Pharmacology;2042-7158;https://academic.oup.com/jpp;;;Ciências Biológicas;Farmacologia;Farmacologia, Toxicologia e Produtos Farmacêuticos;Scopus;3,2;Q2;0,765;Q2;148.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Pharmacy%20and%20Pharmacology&btnG=
Journal of Physiology;0022-3751;https://physoc.onlinelibrary.wiley.com/journal/14697793;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Profissões da Saúde;Scopus;4,4;Q1;1,476;Q1;285.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Physiology&btnG=
Journal of Physiology and Pharmacology;0867-5910;;;;Ciências Biológicas;Biologia Geral;Bioquímica, Farmacologia, Genética e Biologia Molecular, Medicina, Toxicologia e Farmacêutica;Scopus;1,7;Q4;0,548;Q2;97.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Physiology%20and%20Pharmacology&btnG=
Journal of Phytomedicine and Therapeutics;2636-5448;;;;Ciências Biológicas;Farmacologia;Farmacologia, Toxicologia e Produtos Farmacêuticos;Scopus;-;-;0,141;Q4;7.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Phytomedicine%20and%20Therapeutics&btnG=
Journal of Phytopathology;0931-1785;https://onlinelibrary.wiley.com/journal/14390434;;;Ciências Biológicas;Biologia Geral;Bioquímica, Ciências Agrárias e Biológicas, Genética e Biologia Molecular;Scopus;1,1;Q3;0,331;Q3;77.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Phytopathology&btnG=
Journal of Pineal Research;1600-079X;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-079X;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular;Scopus;6,3;Q1;1,802;Q1;177.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Pineal%20Research&btnG=
Journal of Plant Biochemistry and Biotechnology;0974-1275;https://www.springer.com/journal/13562;Aims and scopeEditorial boardEditorial policiesEthics and disclosuresRights and permissionsContact the journal;Aims and scopeEditorial boardEditorial policiesEthics and disclosuresRights and permissionsContact the journal;Ciências Biológicas;Biologia Geral;Bioquímica, Ciências Agrárias e Biológicas, Genética e Biologia Molecular;Scopus;1,5;Q3;0,442;Q2;43.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Plant%20Biochemistry%20and%20Biotechnology&btnG=
Journal of Plant Nutrition;0190-4167;https://www.tandfonline.com/toc/lpla20/current;;;Ciências Biológicas;Biologia Geral;Bioquímica, Ciências Agrárias e Biológicas, Genética e Biologia Molecular;Scopus;1,7;Q2;0,414;Q2;106.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Plant%20Nutrition&btnG=
Journal of Plant Physiology;0176-1617;https://www.journals.elsevier.com/journal-of-plant-physiology;;;Ciências Biológicas;Biologia Geral;Bioquímica, Ciências Agrárias e Biológicas, Genética e Biologia Molecular;Scopus;4,1;Q1;1,17;Q1;173.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Plant%20Physiology&btnG=
Journal of Plant Registrations;1936-5209;https://acsess.onlinelibrary.wiley.com/journal/19403496;;;Ciências Biológicas;Biologia Geral;Bioquímica, Ciências Agrárias e Biológicas, Genética e Biologia Molecular;Scopus;-;-;0,318;Q3;30.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Plant%20Registrations&btnG=
Journal of Practical Oncology;1001-1692;;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Medicina;Scopus;-;-;0,111;Q4;5.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Practical%20Oncology&btnG=
Journal of Proteome Research;1535-3893;http://pubs.acs.org/journal/jprobs;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Química;Scopus;3,6;Q2;1,194;Q1;198.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Proteome%20Research&btnG=
Journal of Proteomics;1874-3919;https://www.journals.elsevier.com/journal-of-proteomics;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular;Scopus;2,8;Q2;0,689;Q2;136.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Proteomics&btnG=
Journal of Psychopharmacology;1461-7285;http://www.uk.sagepub.com/journals/Journal200774/title;;;Ciências Biológicas;Farmacologia;Farmacologia, Medicina, Toxicologia e Farmacêutica;Scopus;5,5;Q1;1,683;Q1;150.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Psychopharmacology&btnG=
Journal of Psychophysiology;2151-2124;http://www.hogrefe.com/periodicals/journal-of-psychophysiology;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Neurociência, Psicologia;Scopus;-;-;0,417;Q3;53.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Psychophysiology&btnG=
Journal of Receptors and Signal Transduction;1079-9893;http://www.informapharmascience.com/rst;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular;Scopus;-;-;0,595;Q3;57.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Receptors%20and%20Signal%20Transduction&btnG=
Journal of Reproductive Immunology;1872-7603;https://www.journals.elsevier.com/journal-of-reproductive-immunology;;;Ciências Biológicas;Biologia Geral;Imunologia e Microbiologia, Medicina;Scopus;2,9;Q2;0,956;Q1;109.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Reproductive%20Immunology&btnG=
Journal of Research in Pharmacy;2630-6344;http://www.marmarapharmj.com/;;;Ciências Biológicas;Farmacologia;Farmacologia, Medicina, Toxicologia e Farmacêutica;Scopus;-;-;0,202;Q3;26.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Research%20in%20Pharmacy&btnG=
Journal of Sexual Medicine;1743-6095;https://www.sciencedirect.com/journal/the-journal-of-sexual-medicine;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Medicina, Neurociência;Scopus;3,3;Q1;0,796;Q1;154.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Sexual%20Medicine&btnG=
Journal of Stem Cells;1556-8539;;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Medicina;Scopus;-;-;0,111;Q4;23.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Stem%20Cells&btnG=
Journal of Steroid Biochemistry and Molecular Biology;0960-0760;http://www.journals.elsevier.com/the-journal-of-steroid-biochemistry-and-molecular-biology;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Medicina;Scopus;2,5;Q3;0,756;Q2;157.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Steroid%20Biochemistry%20and%20Molecular%20Biology&btnG=
Journal of Structural Biology;1047-8477;http://www.journals.elsevier.com/journal-of-structural-biology/;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular;Scopus;2,7;Q2;0,985;Q2;171.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Structural%20Biology&btnG=
Journal of Studies on Alcohol and Drugs;1937-1888;http://www.jsad.com/JSAD;;;Ciências Biológicas;Farmacologia;Ciências Sociais, Farmacologia, Medicina, Toxicologia e Farmacêutica;Scopus;2,2;Q2;0,839;Q1;145.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Studies%20on%20Alcohol%20and%20Drugs&btnG=
Journal of Texture Studies;0022-4901;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-4603;;;Ciências Biológicas;Farmacologia;Ciências Agrárias e Biológicas, Farmacologia, Toxicologia e Farmacêutica;Scopus;2,5;Q3;0,708;Q2;75.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Texture%20Studies&btnG=
Journal of Theoretical Biology;1095-8541;http://www.journals.elsevier.com/journal-of-theoretical-biology/;;;Ciências Biológicas;Biologia Geral;Bioquímica, Ciências Agrárias e Biológicas, Genética e Biologia Molecular, Imunologia e Microbiologia, Matemática, Medicina;Scopus;2;Q2;0,55;Q2;184.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Theoretical%20Biology&btnG=
Journal of Thermal Biology;1879-0992;https://www.journals.elsevier.com/journal-of-thermal-biology;;;Ciências Biológicas;Biologia Geral;Bioquímica, Ciências Agrárias e Biológicas, Genética e Biologia Molecular, Medicina;Scopus;2,9;Q1;0,642;Q1;94.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Thermal%20Biology&btnG=
Journal of Toxicology and Environmental Health - Part A: Current Issues;1087-2620;http://www.tandfonline.com/action/journalInformation?journalCode=uteh20&#.U2c1-lfkIdU;;;Ciências Biológicas;Farmacologia;Ciência Ambiental, Farmacologia, Toxicologia e Farmacêutica;Scopus;1,9;Q3;0,557;Q3;105.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Toxicology%20and%20Environmental%20Health%20-%20Part%20A%3A%20Current%20Issues&btnG=
Journal of Toxicology and Environmental Health - Part B: Critical Reviews;1093-7404;https://www.tandfonline.com/toc/uteb20/current;;;Ciências Biológicas;Farmacologia;Ciência Ambiental, Farmacologia, Toxicologia e Farmacêutica;Scopus;8,1;Q1;2,567;Q1;107.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Toxicology%20and%20Environmental%20Health%20-%20Part%20B%3A%20Critical%20Reviews&btnG=
Journal of Trace Elements in Medicine and Biology;0946-672X;https://www.sciencedirect.com/journal/journal-of-trace-elements-in-medicine-and-biology;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Química;Scopus;3,3;Q2;0,779;Q1;104.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Trace%20Elements%20in%20Medicine%20and%20Biology&btnG=
Journal of Transformative Technologies and Sustainable Development;3059-3336;;;;Ciências Biológicas;Biologia Geral;Bioquímica, Engenharia, Genética e Biologia Molecular;Scopus;-;-;0,171;Q4;10.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Transformative%20Technologies%20and%20Sustainable%20Development&btnG=
Journal of Translational Genetics and Genomics;2578-5281;http://jtggjournal.com/;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Medicina;Scopus;-;-;0,575;Q3;14.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Translational%20Genetics%20and%20Genomics&btnG=
Journal of Tropical Pathology;1980-8178;http://revistas.ufg.emnuvens.com.br/iptsp;;;Ciências Biológicas;Biologia Geral;Imunologia e Microbiologia, Medicina;Scopus;-;-;0,161;Q4;5.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Tropical%20Pathology&btnG=
Journal of Vascular Research;1018-1172;http://www.karger.com/Journal/Home/224160;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Medicina;Scopus;2,3;Q2;0,549;Q2;85.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Vascular%20Research&btnG=
Journal of Veterinary Cardiology;1760-2734;https://www.journals.elsevier.com/journal-of-veterinary-cardiology;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Veterinária;Scopus;1,3;Q2;0,656;Q1;53.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Veterinary%20Cardiology&btnG=
Journal of Veterinary Pharmacology and Therapeutics;0140-7783;https://onlinelibrary.wiley.com/journal/13652885;;;Ciências Biológicas;Farmacologia;Farmacologia, Toxicologia e Farmacêutica Veterinária;Scopus;1,7;Q2;0,315;Q2;73.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Veterinary%20Pharmacology%20and%20Therapeutics&btnG=
Journal of Viral Hepatitis;1352-0504;https://onlinelibrary.wiley.com/journal/13652893;;;Ciências Biológicas;Biologia Geral;Imunologia e Microbiologia, Medicina;Scopus;2,3;Q3;0,871;Q2;113.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Viral%20Hepatitis&btnG=
Journal of Virological Methods;0166-0934;https://www.journals.elsevier.com/journal-of-virological-methods;;;Ciências Biológicas;Biologia Geral;Imunologia e Microbiologia;Scopus;1,6;Q4;0,459;Q3;123.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Virological%20Methods&btnG=
Journal of Visualized Experiments;1940-087X;http://www.jove.com/;;;Ciências Biológicas;Biologia Geral;Bioquímica, Engenharia Química, Genética e Biologia Molecular, Imunologia e Microbiologia, Neurociência;Scopus;1;Q3;0,409;Q2;152.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Visualized%20Experiments&btnG=
Journal of Water Process Engineering;2214-7144;https://www.journals.elsevier.com/journal-of-water-process-engineering;;;Ciências Biológicas;Biologia Geral;Bioquímica, Ciência Ambiental, Engenharia, Engenharia Química, Genética e Biologia Molecular;Scopus;-;-;1,229;Q1;125.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Water%20Process%20Engineering&btnG=
Journal of Xi'an Jiaotong University (Medical Sciences);1671-8259;;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Medicina;Scopus;-;-;0,135;Q4;10.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20Xi%27an%20Jiaotong%20University%20%28Medical%20Sciences%29&btnG=
Journal of the American Chemical Society;1520-5126;http://pubs.acs.org/journals/jacsat/index.html;;;Ciências Biológicas;Biologia Geral;Bioquímica, Engenharia Química, Genética e Biologia Molecular, Química;Scopus;15,6;Q1;5,491;Q1;759.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20the%20American%20Chemical%20Society&btnG=
Journal of the American Pharmacists Association;1544-3191;https://www.journals.elsevier.com/journal-of-the-american-pharmacists-association;;;Ciências Biológicas;Farmacologia;Enfermagem, Farmacologia, Profissões da Saúde, Toxicologia e Farmacêutica;Scopus;2,5;Q3;0,809;Q1;78.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20the%20American%20Pharmacists%20Association&btnG=
Journal of the American Society for Mass Spectrometry;1044-0305;https://pubs.acs.org/journal/jamsef;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Química;Scopus;2,7;Q1;0,641;Q2;146.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20the%20American%20Society%20for%20Mass%20Spectrometry&btnG=
Journal of the American Society of Brewing Chemists;1943-7854;https://www.tandfonline.com/toc/ujbc20/current;;;Ciências Biológicas;Biologia Geral;Bioquímica, Ciências Agrárias e Biológicas, Genética e Biologia Molecular, Imunologia e Microbiologia;Scopus;1,8;Q3;0,495;Q2;51.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20the%20American%20Society%20of%20Brewing%20Chemists&btnG=
Journal of the Indian Chemical Society;0019-4522;https://www.journals.elsevier.com/journal-of-the-indian-chemical-society;;;Ciências Biológicas;Farmacologia;Farmacologia, Química, Toxicologia e Farmacêutica;Scopus;3,4;Q2;0,475;Q2;49.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20the%20Indian%20Chemical%20Society&btnG=
Journal of the Japan Diabetes Society;0021-437X;https://www.jstage.jst.go.jp/browse/tonyobyo/list/-char/ja;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Medicina;Scopus;-;-;0,113;Q4;17.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20the%20Japan%20Diabetes%20Society&btnG=
Journal of the National Cancer Center;2096-8663;https://www.journals.elsevier.com/journal-of-the-national-cancer-center;Subjects: Neoplasms. Tumors. Oncology. Including cancer and carcinogens. Keywords: cancer, oncology, haematology, tumor, tumor immunotherapy;Subjects: Neoplasms. Tumors. Oncology. Including cancer and carcinogens. Keywords: cancer, oncology, haematology, tumor, tumor immunotherapy;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Medicina;Scopus;-;-;5,049;Q1;21.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20the%20National%20Cancer%20Center&btnG=
Journal of the National Cancer Institute;1460-2105;http://jnci.oxfordjournals.org/;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Medicina;Scopus;7,2;Q1;3,786;Q1;403.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20the%20National%20Cancer%20Institute&btnG=
Journal of the National Cancer Institute - Monographs;1052-6773;http://jncicancerspectrum.oupjournals.org/jncimono;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Medicina;Scopus;-;-;1,426;Q1;101.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20the%20National%20Cancer%20Institute%20-%20Monographs&btnG=
Journal of the Royal Society Interface;1742-5689;http://rsif.royalsocietypublishing.org/;;;Ciências Biológicas;Biologia Geral;Bioquímica, Ciência dos Materiais, Engenharia, Engenharia Química, Genética e Biologia Molecular;Scopus;3,5;Q1;0,919;Q1;186.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20the%20Royal%20Society%20Interface&btnG=
Journal of the Science of Food and Agriculture;1097-0010;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0010;;;Ciências Biológicas;Biologia Geral;Bioquímica, Ciências Agrárias e Biológicas, Enfermagem, Genética e Biologia Molecular;Scopus;3,5;Q1;0,76;Q1;199.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journal%20of%20the%20Science%20of%20Food%20and%20Agriculture&btnG=
Journals of Gerontology - Series A Biological Sciences and Medical Sciences;1079-5006;https://academic.oup.com/biomedgerontology;;;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Medicina;Scopus;3,8;Q1;1,376;Q1;238.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Journals%20of%20Gerontology%20-%20Series%20A%20Biological%20Sciences%20and%20Medical%20Sciences&btnG=
Jundishapur Journal of Natural Pharmaceutical Products;2228-7876;http://jjnpp.ajums.ac.ir;;;Ciências Biológicas;Farmacologia;Farmacologia, Toxicologia e Produtos Farmacêuticos;Scopus;1,2;Q4;0,278;Q3;35.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Jundishapur%20Journal%20of%20Natural%20Pharmaceutical%20Products&btnG=
Karstenia;0453-3402;http://karstenia.fi;"Objetivo e Escopo: Manuscripts submitted, currently under consideration, or in the editorial process will be handled with due care and in line with the guidelines of the journal. Authors concerned will be informed directly about the next steps.

Karstenia is an international research journal with an emphasis to boreal and arctic-alpine mycology. It publishes papers reporting original research on all aspects of the fungi (including lichens), especially on systematics and ecology. Papers also appropriate for the journal are review articles, book reviews and invited papers.";Objetivo e Escopo: Manuscripts submitted, currently under consideration, or in the editorial process will be handled with due care and in line with the guidelines of the journal. Authors concerned will be informed directly about the next steps. Karstenia is an international research journal with an emphasis to boreal and arctic-alpine mycology. It publishes papers reporting original research on all aspects of the fungi (including lichens), especially on systematics and ecology. Papers also appropriate for the journal are review articles, book reviews and invited papers.;Ciências Biológicas;Biologia Geral;Ciências Agrárias e Biológicas, Imunologia e Microbiologia, Medicina;Scopus;-;-;0,108;Q4;11.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Karstenia&btnG=
Korean Journal of Food Science and Technology;0367-6293;http://www.kjfst.or.kr;;;Ciências Biológicas;Biologia Geral;Bioquímica, Ciências Agrárias e Biológicas, Genética e Biologia Molecular, Imunologia e Microbiologia;Scopus;-;-;0,163;Q4;25.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Korean%20Journal%20of%20Food%20Science%20and%20Technology&btnG=
Korean Journal of Medicinal Crop Science;2288-0186;http://www.medicinalcrop.org/;;;Ciências Biológicas;Biologia Geral;Bioquímica, Ciências Agrárias e Biológicas, Farmacologia, Genética e Biologia Molecular, Toxicologia e Farmacêutica;Scopus;-;-;0,183;Q3;8.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Korean%20Journal%20of%20Medicinal%20Crop%20Science&btnG=
Korean Journal of Microbiology;0440-2413;;;;Ciências Biológicas;Biologia Geral;Imunologia e Microbiologia;Scopus;-;-;0,128;Q4;15.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Korean%20Journal%20of%20Microbiology&btnG=
Korean Journal of Pharmacognosy;0253-3073;http://journal.ksp.or.kr;;;Ciências Biológicas;Farmacologia;Farmacologia, Toxicologia e Produtos Farmacêuticos;Scopus;-;-;0,12;Q4;19.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Korean%20Journal%20of%20Pharmacognosy&btnG=
Korean Journal of Physiology and Pharmacology;2093-3827;http://www.kjpp.or.kr;;;Ciências Biológicas;Biologia Geral;Bioquímica, Farmacologia, Genética e Biologia Molecular, Toxicologia e Farmacêutica;Scopus;2,2;Q3;0,606;Q3;46.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Korean%20Journal%20of%20Physiology%20and%20Pharmacology&btnG=
LANCET INFECTIOUS DISEASES;1473-3099;https://www.journals.elsevier.com/the-lancet-infectious-diseases;;;Ciências Biológicas;Biologia Geral;Microbiologia;Web of Science;2,6;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=LANCET%20INFECTIOUS%20DISEASES&btnG=
LANCET NEUROLOGY;1474-4422;https://www.journals.elsevier.com/the-lancet-neurology;;;Ciências Biológicas;Biologia Geral;Obstetrícia e Ginecologia, Biologia Reprodutiva;Web of Science;1,7;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=LANCET%20NEUROLOGY&btnG=
LANGUAGE AND INTERCULTURAL COMMUNICATION;1470-8477;https://www.tandfonline.com/toc/rmli20/current;;;Ciências Biológicas;Biologia Geral;Antropologia, Biologia Evolutiva, Ciências Comportamentais, Psicologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=LANGUAGE%20AND%20INTERCULTURAL%20COMMUNICATION&btnG=
LANGUAGE AWARENESS;0965-8416;https://www.tandfonline.com/toc/rmla20/current;;;Ciências Biológicas;Farmacologia;Oftalmologia, Farmacologia e Farmácia;Web of Science;1,2;Q4;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=LANGUAGE%20AWARENESS&btnG=
LANGUAGE CULTURE AND CURRICULUM;0790-8318;https://www.tandfonline.com/toc/rlcc20/current;;;Ciências Biológicas;Biologia Geral;Bioquímica e Biologia Molecular, Biologia Celular, Oftalmologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=LANGUAGE%20CULTURE%20AND%20CURRICULUM&btnG=
LANGUAGE LEARNING JOURNAL;0957-1736;https://www.tandfonline.com/toc/rllj20/current;;;Ciências Biológicas;Ecologia;Obstetrícia e Ginecologia;Web of Science;1,4;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=LANGUAGE%20LEARNING%20JOURNAL&btnG=
LANGUAGES IN CONTRAST;1387-6759;http://www.benjamins.com/cgi-bin/t_seriesview.cgi?series=LiC;;;Ciências Biológicas;Biologia Geral;Microbiologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=LANGUAGES%20IN%20CONTRAST&btnG=
LATVIAN JOURNAL OF PHYSICS AND TECHNICAL SCIENCES;0868-8257;http://www.degruyter.com/view/j/lpts;;;Ciências Biológicas;Ecologia;Ecologia, Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=LATVIAN%20JOURNAL%20OF%20PHYSICS%20AND%20TECHNICAL%20SCIENCES&btnG=
LAW & SOCIAL INQUIRY;0897-6546;https://www.cambridge.org/core/journals/law-and-social-inquiry;;;Ciências Biológicas;Microbiologia/Parasitologia;Parasitologia, Ciências Veterinárias;Web of Science;3,1;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=LAW%20%26%20SOCIAL%20INQUIRY&btnG=
LEGAL PLURALISM AND CRITICAL SOCIAL ANALYSIS;2770-6869;;;;Ciências Biológicas;Zoologia;Entomologia, Zoologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=LEGAL%20PLURALISM%20AND%20CRITICAL%20SOCIAL%20ANALYSIS&btnG=
LETTERE ITALIANE;0024-1334;http://www.olschki.it/riviste/lettital.htm;;;Ciências Biológicas;Biologia Geral;Biologia Matemática e Computacional;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=LETTERE%20ITALIANE&btnG=
LEUKEMIA RESEARCH;0145-2126;https://www.journals.elsevier.com/leukemia-research;;;Ciências Biológicas;Ecologia;Conservação da Biodiversidade, Ecologia, Ciências Ambientais;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=LEUKEMIA%20RESEARCH&btnG=
LEVANT;0075-8914;https://www.tandfonline.com/toc/ylev20/current;;;Ciências Biológicas;Farmacologia;Farmacologia e Farmácia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=LEVANT&btnG=
